currSessionId,currGameId,currGameCondition,currGameRoundId,currGamePhase,playerId,playerType,mood
"041834AQH['CI', 'RANDOM', 'RANDOM']",88,"['DI', 'RANDOM', 'RANDOM']",35,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",88,"['DI', 'RANDOM', 'RANDOM']",36,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",88,"['DI', 'RANDOM', 'RANDOM']",37,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",88,"['DI', 'RANDOM', 'RANDOM']",38,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",88,"['DI', 'RANDOM', 'RANDOM']",39,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",88,"['DI', 'RANDOM', 'RANDOM']",40,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",88,"['DI', 'RANDOM', 'RANDOM']",41,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",88,"['DI', 'RANDOM', 'RANDOM']",42,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",88,"['DI', 'RANDOM', 'RANDOM']",43,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",88,"['DI', 'RANDOM', 'RANDOM']",44,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",88,"['DI', 'RANDOM', 'RANDOM']",45,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",88,"['DI', 'RANDOM', 'RANDOM']",46,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",88,"['DI', 'RANDOM', 'RANDOM']",47,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",88,"['DI', 'RANDOM', 'RANDOM']",48,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",88,"['DI', 'RANDOM', 'RANDOM']",49,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",88,"['DI', 'RANDOM', 'RANDOM']",50,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",0,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0.59
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",1,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,2.12
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",2,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,5.49
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",3,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",4,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",5,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",6,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",8,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",7,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",9,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",10,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",12,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",11,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",13,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",14,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",15,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",16,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",17,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",18,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",19,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",20,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",21,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",22,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",23,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",24,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",25,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",26,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",27,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",29,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",28,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",30,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",31,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",32,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",33,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",34,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",35,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",36,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",38,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",37,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",39,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",40,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",41,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",42,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",44,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",43,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",45,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",46,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",48,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",47,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",49,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",89,"['CC', 'RANDOM', 'RANDOM']",50,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",90,"['CI', 'RANDOM', 'RANDOM']",0,BUDGET_ALLOCATION,0,AI-EMOTIONAL-DISRUPTIVE-COLLECTIVIST,-0.59
"041834AQH['CI', 'RANDOM', 'RANDOM']",90,"['CI', 'RANDOM', 'RANDOM']",1,BUDGET_ALLOCATION,0,AI-EMOTIONAL-DISRUPTIVE-COLLECTIVIST,-9.74
"041834AQH['CI', 'RANDOM', 'RANDOM']",90,"['CI', 'RANDOM', 'RANDOM']",2,BUDGET_ALLOCATION,0,AI-EMOTIONAL-DISRUPTIVE-COLLECTIVIST,-9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",90,"['CI', 'RANDOM', 'RANDOM']",3,BUDGET_ALLOCATION,0,AI-EMOTIONAL-DISRUPTIVE-COLLECTIVIST,-9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",90,"['CI', 'RANDOM', 'RANDOM']",4,BUDGET_ALLOCATION,0,AI-EMOTIONAL-DISRUPTIVE-COLLECTIVIST,-9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",90,"['CI', 'RANDOM', 'RANDOM']",5,BUDGET_ALLOCATION,0,AI-EMOTIONAL-DISRUPTIVE-COLLECTIVIST,-9.89
