currSessionId,currGameId,currRoundId,playerId,playerType,playerCurrInvestEcon,playerCurrInvestEnv,envState
"222028SMT['CC', 'CC', 'CI']",25,117,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,34.55999
"222028SMT['CC', 'CC', 'CI']",25,117,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,1,4,34.55999
"222028SMT['CC', 'CC', 'CI']",25,117,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,1,4,34.55999
"222028SMT['CC', 'CC', 'CI']",25,118,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,34.85999
"222028SMT['CC', 'CC', 'CI']",25,118,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,34.85999
"222028SMT['CC', 'CC', 'CI']",25,118,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,34.85999
"222028SMT['CC', 'CC', 'CI']",25,119,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,1,4,35.17999
"222028SMT['CC', 'CC', 'CI']",25,119,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,35.17999
"222028SMT['CC', 'CC', 'CI']",25,119,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,35.17999
"222028SMT['CC', 'CC', 'CI']",25,120,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,35.43999
"222028SMT['CC', 'CC', 'CI']",25,120,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,35.43999
"222028SMT['CC', 'CC', 'CI']",25,120,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,35.43999
"222028SMT['CC', 'CC', 'CI']",25,121,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,35.79999
"222028SMT['CC', 'CC', 'CI']",25,121,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,35.79999
"222028SMT['CC', 'CC', 'CI']",25,121,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,35.79999
"222028SMT['CC', 'CC', 'CI']",25,122,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,36.12999
"222028SMT['CC', 'CC', 'CI']",25,122,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,36.12999
"222028SMT['CC', 'CC', 'CI']",25,122,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,36.12999
"222028SMT['CC', 'CC', 'CI']",25,123,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,36.35999
"222028SMT['CC', 'CC', 'CI']",25,124,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,36.57
"222028SMT['CC', 'CC', 'CI']",25,124,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,36.57
"222028SMT['CC', 'CC', 'CI']",25,124,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,36.57
"222028SMT['CC', 'CC', 'CI']",25,123,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,36.35999
"222028SMT['CC', 'CC', 'CI']",25,123,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,1,4,36.35999
"222028SMT['CC', 'CC', 'CI']",25,125,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,36.76
"222028SMT['CC', 'CC', 'CI']",25,125,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,36.76
"222028SMT['CC', 'CC', 'CI']",25,125,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,1,4,36.76
"222028SMT['CC', 'CC', 'CI']",25,126,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,37.05
"222028SMT['CC', 'CC', 'CI']",25,126,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,1,4,37.05
"222028SMT['CC', 'CC', 'CI']",25,126,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,37.05
"222028SMT['CC', 'CC', 'CI']",25,127,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,1,4,37.25999
"222028SMT['CC', 'CC', 'CI']",25,127,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,1,4,37.25999
"222028SMT['CC', 'CC', 'CI']",25,128,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,37.64
"222028SMT['CC', 'CC', 'CI']",25,127,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,37.25999
"222028SMT['CC', 'CC', 'CI']",25,128,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,37.64
