sessionId,currGameId,condition,outcome,env_state,playerId_0_pos,playerId_0_type,playerId_0_econ_state,playerId_0_econ_history_perc,playerId_0_env_history_perc,playerId_1_pos,playerId_1_type,playerId_1_econ_state,playerId_1_econ_history_perc,playerId_1_env_history_perc,playerId_2_pos,playerId_2_type,playerId_2_econ_state,playerId_2_econ_history_perc,playerId_2_env_history_perc
"042038KKZ['CC', 'CC', 'CI']",1865,"['CC', 'DC', 'DI']",VICTORY,0.78,2,Competitive,0,0,1,1,Cooperative,0,0,1,0,Cooperative,0.19,0.4,0.6
"042038KKZ['CC', 'CC', 'CI']",1866,"['CC', 'DC', 'RANDOM']",VICTORY,0.78,2,Competitive,0,0.1,0.9,1,Cooperative,0,0,1,0,AIPlayerRandom,0.13,0.5,0.5
"042038KKZ['CC', 'CC', 'CI']",1867,"['CC', 'DI', 'DI']",VICTORY,0.7399999,2,Competitive,0,0,1,0,Cooperative,0.16,0.3,0.7,1,Cooperative,0.16,0.4,0.6
"042038KKZ['CC', 'CC', 'CI']",1868,"['CC', 'DI', 'RANDOM']",VICTORY,0.35,2,Competitive,0,0.05,0.95,1,Cooperative,0.17,0.35,0.65,0,AIPlayerRandom,0.45,0.65,0.35
"042038KKZ['CC', 'CC', 'CI']",1869,"['CC', 'RANDOM', 'RANDOM']",VICTORY,0.9000002,2,Competitive,0,0.1,0.9,1,AIPlayerRandom,0,0.2,0.8,0,AIPlayerRandom,0.07000002,0.45,0.55
"042038KKZ['CC', 'CC', 'CI']",1870,"['CI', 'CI', 'CI']",VICTORY,0.08999997,1,Competitive,0.13,0.3,0.7,2,Competitive,0.07999999,0.55,0.45,0,Competitive,0.19,0.65,0.35
"042038KKZ['CC', 'CC', 'CI']",1871,"['CI', 'CI', 'DC']",VICTORY,0.72,0,Competitive,0.16,0.4,0.6,1,Competitive,0.12,0.55,0.45,2,Cooperative,0,0,1
"042038KKZ['CC', 'CC', 'CI']",1872,"['CI', 'CI', 'DI']",VICTORY,0.27,0,Competitive,0.21,0.55,0.45,1,Competitive,0.17,0.6,0.4,2,Cooperative,0,0.15,0.85
"042038KKZ['CC', 'CC', 'CI']",1873,"['CI', 'CI', 'RANDOM']",VICTORY,0.26,2,Competitive,0.11,0.35,0.65,0,Competitive,0.24,0.4,0.6,1,AIPlayerRandom,0.19,0.6,0.4
"042038KKZ['CC', 'CC', 'CI']",1874,"['CI', 'DC', 'DC']",VICTORY,0.8100001,0,Competitive,0.15,0.4,0.6,1,Cooperative,0,0.1,0.9,2,Cooperative,0,0.1,0.9
"042038KKZ['CC', 'CC', 'CI']",1875,"['CI', 'DC', 'DI']",VICTORY,0.6900001,0,Competitive,0.24,0.4,0.6,2,Cooperative,0,0.1,0.9,1,Cooperative,0.16,0.45,0.55
"042038KKZ['CC', 'CC', 'CI']",1876,"['CI', 'DC', 'RANDOM']",VICTORY,0.2900001,1,Competitive,0.24,0.45,0.55,2,Cooperative,0,0.15,0.85,0,AIPlayerRandom,0.45,0.75,0.25
"042038KKZ['CC', 'CC', 'CI']",1877,"['CI', 'DI', 'DI']",VICTORY,0.37,0,Competitive,0.28,0.4,0.6,2,Cooperative,0.08,0.4,0.6,1,Cooperative,0.17,0.5,0.5
"042038KKZ['CC', 'CC', 'CI']",1878,"['CI', 'DI', 'RANDOM']",VICTORY,0.31,2,Competitive,0.05,0.4,0.6,0,Cooperative,0.22,0.45,0.55,1,AIPlayerRandom,0.07999999,0.5,0.5
"042038KKZ['CC', 'CC', 'CI']",1879,"['CI', 'RANDOM', 'RANDOM']",VICTORY,0.26,1,Competitive,0.16,0.35,0.65,0,AIPlayerRandom,0.18,0.6,0.4,2,AIPlayerRandom,0.08,0.25,0.75
