sessionId,currGameId,condition,outcome,env_state,playerId,pos,type,econ_state,econ_history_perc,env_history_perc,num_played_rounds
"052106CZK['CC', 'CC', 'CI']",32,"['DI', 'DI', 'RANDOM']",VICTORY,0.75,1,1,AI-EMOTIONAL-DISRUPTIVE-INDIVIDUALISTIC,0,26,479,101
"052106CZK['CC', 'CC', 'CI']",32,"['DI', 'DI', 'RANDOM']",VICTORY,0.75,0,2,AI-EMOTIONAL-DISRUPTIVE-INDIVIDUALISTIC,0,26,479,101
"052106CZK['CC', 'CC', 'CI']",32,"['DI', 'DI', 'RANDOM']",VICTORY,0.75,2,0,AI-RANDOM,0.94,267,238,101
"052106CZK['CC', 'CC', 'CI']",33,"['DI', 'RANDOM', 'RANDOM']",LOSS,0,2,2,AI-RANDOM,0.42,39,46,17
"052106CZK['CC', 'CC', 'CI']",33,"['DI', 'RANDOM', 'RANDOM']",LOSS,0,0,0,AI-EMOTIONAL-DISRUPTIVE-INDIVIDUALISTIC,0.95,71,14,17
"052106CZK['CC', 'CC', 'CI']",33,"['DI', 'RANDOM', 'RANDOM']",LOSS,0,1,1,AI-RANDOM,0.45,42,43,17
"052106CZK['CC', 'CC', 'CI']",34,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,0,2,1,AI-RANDOM,0.9,176,154,66
"052106CZK['CC', 'CC', 'CI']",34,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,0,0,2,AI-RANDOM,0.87,163,167,66
"052106CZK['CC', 'CC', 'CI']",34,"['RANDOM', 'RANDOM', 'RANDOM']",LOSS,0,1,0,AI-RANDOM,0.93,193,137,66
"052106CZK['CC', 'CC', 'CI']",35,"['CC', 'CC', 'CC']",VICTORY,0.75,0,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,26,479,101
"052106CZK['CC', 'CC', 'CI']",35,"['CC', 'CC', 'CC']",VICTORY,0.75,1,1,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,27,478,101
"052106CZK['CC', 'CC', 'CI']",35,"['CC', 'CC', 'CC']",VICTORY,0.75,2,2,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,33,472,101
"052106CZK['CC', 'CC', 'CI']",36,"['CC', 'CC', 'CI']",VICTORY,0.83,2,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0.94,475,30,101
"052106CZK['CC', 'CC', 'CI']",36,"['CC', 'CC', 'CI']",VICTORY,0.83,0,2,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,44,461,101
"052106CZK['CC', 'CC', 'CI']",36,"['CC', 'CC', 'CI']",VICTORY,0.83,1,1,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,37,468,101
"052106CZK['CC', 'CC', 'CI']",37,"['CC', 'CC', 'DC']",VICTORY,0.73,2,2,AI-EMOTIONAL-DISRUPTIVE-COLLECTIVIST,0,24,481,101
"052106CZK['CC', 'CC', 'CI']",37,"['CC', 'CC', 'DC']",VICTORY,0.73,0,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,33,472,101
"052106CZK['CC', 'CC', 'CI']",37,"['CC', 'CC', 'DC']",VICTORY,0.73,1,1,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,24,481,101
"052106CZK['CC', 'CC', 'CI']",38,"['CC', 'CC', 'DI']",VICTORY,0.69,1,1,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,24,481,101
"052106CZK['CC', 'CC', 'CI']",38,"['CC', 'CC', 'DI']",VICTORY,0.69,0,2,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,34,471,101
"052106CZK['CC', 'CC', 'CI']",38,"['CC', 'CC', 'DI']",VICTORY,0.69,2,0,AI-EMOTIONAL-DISRUPTIVE-INDIVIDUALISTIC,0.91,471,34,101
"052106CZK['CC', 'CC', 'CI']",39,"['CC', 'CC', 'RANDOM']",LOSS,0,0,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0.48,20,5,5
"052106CZK['CC', 'CC', 'CI']",39,"['CC', 'CC', 'RANDOM']",LOSS,0,1,1,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0.41,18,7,5
